gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
bpoA,11,0.0,0.0,0.024316,0,0,0
Rv1647,11,0.0529,0.001148,0.02229,1,0,0
Rv0306,11,0.0,0.0,0.023303,0,0,0
ephG,11,0.0461,0.001148,0.024316,1,0,0
rshA,11,0.0529,0.001148,0.021277,0,0,0
moaC2,11,0.0,0.0,0.024316,0,0,0
Rv1255c,11,0.0504,0.001148,0.02229,1,0,0
rnpB,11,0.0818,0.002296,0.026342,0,0,0
Rv3204,11,0.0367,0.001148,0.024316,2,0,0
Rv3258c,11,0.0425,0.001148,0.024316,0,0,0
Rv1254,11,0.0,0.0,0.02229,0,0,0
fadD24,11,0.0367,0.001148,0.028369,1,0,0
nei,11,0.0,0.0,0.02229,1,0,0
nagA,11,0.0529,0.001148,0.021277,0,0,0
Rv2585c,11,0.0504,0.001148,0.023303,2,0,0
Rv3163c,11,0.0,0.0,0.023303,0,0,0
fbiD,11,0.0,0.0,0.023303,2,0,0
Rv3054c,11,0.0,0.0,0.023303,0,0,0
yajC,11,0.0461,0.001148,0.024316,0,0,0
bioF2,10,2.88535,0.041906,0.037487,6,0,0
udgB,10,0.0,0.0,0.021277,1,0,0
ptpA,10,0.0197,0.000574,0.026342499999999998,1,0,0
bpoB,10,0.0461,0.001148,0.024316,1,0,0
mesJ,10,0.02045,0.000574,0.0248225,0,0,0
citE,10,0.0,0.0,0.0217835,3,0,0
pgsA3,10,0.0,0.0,0.024316,1,0,0
Rv2751,10,0.0,0.0,0.024316,0,0,0
mce2F,10,0.0,0.0,0.0258355,0,0,0
Rv3542c,10,0.02045,0.000574,0.0258355,0,0,0
pks6,10,1.9015,0.0172215,0.0233025,5,0,0
Rv0575c,10,0.0,0.0,0.02229,1,0,0
Rv2800,10,0.02645,0.000574,0.021277,2,0,0
cysQ,10,0.0556,0.001148,0.020263,0,0,0
Rv2910c,10,0.05165,0.001148,0.023303,0,0,0
Rv0480c,10,0.0,0.0,0.02229,2,0,0
rpmE,10,0.0,0.0,0.025329,0,0,0
sigM,10,0.09285,0.0040185,0.025329,4,0,0
infA,10,0.04015,0.001148,0.032928,0,0,0
PPE21,10,6.9157,0.053961,0.007092,9,0,0
Rv1120c,10,0.0,0.0,0.0248225,1,0,0
Rv1117,10,0.0,0.0,0.0227965,0,0,0
MTS2823,10,0.069,0.001722,0.0238095,0,0,0
PE_PGRS14,10,1.8757,0.024683999999999998,0.029382,5,0,0
Rv0421c,10,0.0,0.0,0.023303,1,0,0
Rv0546c,10,0.0,0.0,0.023303,2,0,0
Rv0356c,10,0.044300000000000006,0.001148,0.0238095,0,0,0
pks15,10,0.7768999999999999,0.012629,0.021277,5,0,0
moeB1,10,0.0461,0.001148,0.0238095,0,0,0
Rv0767c,10,0.0,0.0,0.025329,0,0,0
Rv1231c,10,0.0,0.0,0.024316,3,0,0
Rv1303,10,0.04715,0.001148,0.0227965,0,0,0
ethR,10,0.04015,0.001148,0.0248225,1,0,0
mbtI,10,0.0,0.0,0.02229,1,0,0
Rv1331,10,0.08345,0.002296,0.026848999999999998,1,0,0
Rv3673c,10,0.0,0.0,0.023303,1,0,0
nirD,10,0.0,0.0,0.0227965,0,0,0
Rv3916c,10,0.04515,0.001148,0.0238095,0,0,0
Rv0045c,10,0.0529,0.001148,0.021277,2,0,0
Rv2114,10,0.0461,0.001148,0.024316,1,0,0
Rv3209,10,0.0,0.0,0.0217835,1,0,0
rnhB,10,0.0252,0.000574,0.0238095,1,0,0
Rv3900c,10,4.66065,0.04822,0.011145,9,0,0
clpC2,10,0.0442,0.001148,0.0238095,0,0,0
lipT,9,0.0461,0.001148,0.02229,0,0,0
PE_PGRS26,9,2.2759,0.223881,0.049645,8,0,0
Rv2506,9,0.0,0.0,0.024316,2,0,0
Rv2771c,9,0.0,0.0,0.02229,1,0,0
Rv1118c,9,0.0,0.0,0.025329,0,0,0
Rv2975a,9,0.0343,0.001148,0.027356,0,0,0
