feature,importance,rank
feature_0425,0.00514741956277547,533
feature_4460,0.0051464773732822384,534
feature_1399,0.005145405282341318,535
feature_2568,0.005141153305030157,536
feature_1156,0.005139066232175249,537
feature_0553,0.005136377563136531,538
feature_3030,0.005135479496975283,539
feature_0141,0.005135020084937649,540
feature_0539,0.005130588692329091,541
feature_0890,0.0051300648694245264,542
feature_1983,0.00512813207725049,543
feature_4527,0.005128001795912631,544
feature_4925,0.0051212842598755155,545
feature_1497,0.0051211612198146005,546
feature_4638,0.005115598550965257,547
feature_1602,0.005114504983559555,548
feature_3757,0.005113188503568606,549
feature_1191,0.005108851029941156,550
feature_2306,0.005103177231905484,551
feature_1088,0.005101571747912598,552
feature_1280,0.005100878997487904,553
feature_2671,0.005098131344407421,554
feature_4531,0.0050969387428573985,555
feature_4547,0.005096171877269014,556
feature_4119,0.005092634495170427,557
feature_0078,0.005090515733029745,558
feature_2496,0.005086830992294233,559
feature_3658,0.005081933187769095,560
feature_0412,0.005081022498938551,561
feature_2522,0.005080172063014322,562
feature_2523,0.005073581211891896,563
feature_2685,0.005071771118777041,564
feature_2871,0.005067780905883695,565
feature_2521,0.005067749712699213,566
feature_2443,0.005059208541002339,567
feature_4336,0.005047243513439939,568
feature_2564,0.005045813141489981,569
feature_4064,0.005039114179494502,570
feature_3890,0.0050347955417128975,571
feature_0846,0.005033793912359458,572
feature_3776,0.005031654807946814,573
feature_2332,0.00502866349967819,574
feature_1848,0.005020577583933777,575
feature_4079,0.005010556235107513,576
feature_2395,0.0050082048745640866,577
feature_1549,0.005005492125932106,578
feature_4625,0.00498943657512561,579
feature_4414,0.004989023574593782,580
feature_3139,0.004986677279591857,581
feature_2758,0.004985700401006516,582
feature_4533,0.004984762427180423,583
feature_0671,0.004977515759275381,584
feature_2777,0.00497323014085432,585
feature_1575,0.004958938624789879,586
feature_4223,0.004954228487596767,587
feature_4186,0.004952005328562344,588
feature_4081,0.004950242236061526,589
feature_4702,0.004945304788684885,590
feature_1387,0.004944203615967464,591
feature_4266,0.004943609920993289,592
feature_1035,0.004941132124318142,593
feature_0619,0.004940861758755123,594
feature_2455,0.004937221738379719,595
feature_2440,0.004936052866717268,596
feature_4213,0.004931196691489777,597
feature_0417,0.004929915652835247,598
feature_4293,0.004929278298710965,599
feature_1261,0.004923477020813352,600
feature_2945,0.00492072081298993,601
feature_0836,0.004908418928886094,602
feature_2377,0.004907241111128895,603
feature_0632,0.004897493459086311,604
feature_0808,0.0048962437989452925,605
feature_2126,0.00486751436201513,606
feature_4193,0.004847483981358084,607
feature_0500,0.004846585441806456,608
feature_2248,0.004828502403937547,609
feature_0633,0.0048184955335161895,610
feature_4937,0.004815557087263964,611
feature_3301,0.004805971412875045,612
feature_3365,0.004800740614831332,613
feature_2143,0.004785676659061822,614
feature_0527,0.004780825853894886,615
feature_4116,0.0047796495228836855,616
feature_1713,0.004775815614223476,617
feature_3403,0.0047699966293820424,618
feature_1715,0.004768935731854187,619
feature_2843,0.004766227707152625,620
feature_3909,0.004765322700238201,621
feature_4749,0.004746400292013106,622
feature_2038,0.0047439343442008,623
feature_1994,0.004739819654769587,624
feature_4096,0.004736836140662821,625
feature_4091,0.004735642763294266,626
feature_1861,0.004735467195615814,627
feature_4290,0.00473546696936621,628
feature_2195,0.00472777010259537,629
feature_1146,0.0047265124484155135,630
feature_2120,0.004722548652803533,631
feature_1997,0.00471999082653892,632
feature_3236,0.004719627179105104,633
feature_4564,0.0047179732970100904,634
feature_0179,0.004713580193675539,635
feature_1706,0.004711384422143694,636
feature_2382,0.004708800863743692,637
feature_0971,0.004708648384365048,638
feature_4150,0.004706792150804452,639
feature_3386,0.004705718069407993,640
feature_3247,0.004701068177594838,641
feature_4330,0.004699203250397416,642
feature_0838,0.004698701298738328,643
feature_1013,0.004693530770257062,644
